Kemeja Tenun Ikat Pria Motif Hijau|Kemeja|389000|12|/img/tenun-kemeja-01.jpg|/img/tenun-kemeja-01.jpg|TN0|34|Tenun ikat asli, kualitas premium. Kemeja Tenun Ikat Pria Motif Hijau. Ditenun tangan oleh perajin lokal Indonesia.
Kemeja Tenun Pria Modern Kombinasi|Kemeja|345000|8|/img/tenun-kemeja-02.jpg|/img/tenun-kemeja-02.jpg|TN1|51|Tenun ikat asli, kualitas premium. Kemeja Tenun Pria Modern Kombinasi. Ditenun tangan oleh perajin lokal Indonesia.
Kemeja Tenun Ikat Motif Bunga Lengan Panjang|Kemeja|420000|5|/img/tenun-kemeja-03.jpg|/img/tenun-kemeja-03.jpg|TN2|27|Tenun ikat asli, kualitas premium. Kemeja Tenun Ikat Motif Bunga Lengan Panjang. Ditenun tangan oleh perajin lokal Indonesia.
Kemeja Tenun Troso Polos Navy|Kemeja|375000|10|/img/tenun-kemeja-04.jpg|/img/tenun-kemeja-04.jpg|TN3|62|Tenun ikat asli, kualitas premium. Kemeja Tenun Troso Polos Navy. Ditenun tangan oleh perajin lokal Indonesia.
Kemeja Tenun Ikat NTT Premium|Kemeja|450000|6|/img/tenun-kemeja-05.jpg|/img/tenun-kemeja-05.jpg|TN4|19|Tenun ikat asli, kualitas premium. Kemeja Tenun Ikat NTT Premium. Ditenun tangan oleh perajin lokal Indonesia.
Kemeja Songket Tenun Baron Palembang|Kemeja|520000|4|/img/tenun-kemeja-06.jpg|/img/tenun-kemeja-06.jpg|TN5|41|Tenun ikat asli, kualitas premium. Kemeja Songket Tenun Baron Palembang. Ditenun tangan oleh perajin lokal Indonesia.
Kemeja Tenun Pria Lengan Panjang Troso Jepara|Kemeja|398000|9|/img/tenun-kemeja-07.jpg|/img/tenun-kemeja-07.jpg|TN6|58|Tenun ikat asli, kualitas premium. Kemeja Tenun Pria Lengan Panjang Troso Jepara. Ditenun tangan oleh perajin lokal Indonesia.
Kemeja Pria Etnik Tenun|Kemeja|362000|11|/img/tenun-kemeja-08.jpg|/img/tenun-kemeja-08.jpg|TN7|73|Tenun ikat asli, kualitas premium. Kemeja Pria Etnik Tenun. Ditenun tangan oleh perajin lokal Indonesia.
Kemeja Tenun Pria Kombinasi G171|Kemeja|410000|7|/img/tenun-kemeja-09.jpg|/img/tenun-kemeja-09.jpg|TN8|36|Tenun ikat asli, kualitas premium. Kemeja Tenun Pria Kombinasi G171. Ditenun tangan oleh perajin lokal Indonesia.
Kemeja Tenun Songket Baron 1 Dimensi|Kemeja|495000|3|/img/tenun-kemeja-10.jpg|/img/tenun-kemeja-10.jpg|TN9|22|Tenun ikat asli, kualitas premium. Kemeja Tenun Songket Baron 1 Dimensi. Ditenun tangan oleh perajin lokal Indonesia.
Kemeja Tenun Sumba NTT Asli|Kemeja|468000|5|/img/tenun-kemeja-11.jpg|/img/tenun-kemeja-11.jpg|TN10|44|Tenun ikat asli, kualitas premium. Kemeja Tenun Sumba NTT Asli. Ditenun tangan oleh perajin lokal Indonesia.
Kemeja Tenun Ikat Sintang|Kemeja|385000|8|/img/tenun-kemeja-12.jpg|/img/tenun-kemeja-12.jpg|TN11|30|Tenun ikat asli, kualitas premium. Kemeja Tenun Ikat Sintang. Ditenun tangan oleh perajin lokal Indonesia.
Kemeja Tenun Ikat Toraja|Kemeja|392000|6|/img/tenun-kemeja-13.jpg|/img/tenun-kemeja-13.jpg|TN12|25|Tenun ikat asli, kualitas premium. Kemeja Tenun Ikat Toraja. Ditenun tangan oleh perajin lokal Indonesia.
Kemeja Tenun Ikat Flores Lengan Panjang|Kemeja|405000|7|/img/tenun-kemeja-14.jpg|/img/tenun-kemeja-14.jpg|TN13|39|Tenun ikat asli, kualitas premium. Kemeja Tenun Ikat Flores Lengan Panjang. Ditenun tangan oleh perajin lokal Indonesia.
